date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,0.35,13.62,73.15,1.35,7.66
2020-01-02,0.02,14.62,87.23,1.09,7.59
2020-01-03,0.48,16.91,78.89,1.17,7.81
2020-01-04,0.06,16.32,77.71,1.06,6.55
2020-01-05,0.0,14.23,76.02,2.3,7.54
2020-01-06,0.05,13.67,70.92,1.55,7.81
2020-01-07,0.0,14.67,61.23,0.88,9.53
2020-01-08,0.36,16.04,64.92,1.05,7.96
2020-01-09,4.91,15.08,86.53,1.99,6.14
2020-01-10,0.0,13.36,75.21,2.52,5.24
2020-01-11,0.0,10.49,70.36,2.06,10.62
2020-01-12,0.0,10.63,71.36,1.88,8.24
2020-01-13,0.0,12.03,67.35,1.03,6.13
2020-01-14,0.0,15.17,54.29,0.72,6.31
2020-01-15,0.0,16.38,55.79,0.6,9.69
2020-01-16,0.0,17.87,67.11,1.36,12.23
2020-01-17,0.27,18.73,74.69,1.64,11.84
2020-01-18,0.22,16.61,87.47,1.5,9.21
2020-01-19,0.05,14.72,75.24,2.35,6.6
2020-01-20,0.0,13.12,73.55,2.28,11.5
2020-01-21,0.0,13.42,64.15,1.34,10.91
2020-01-22,0.0,14.15,62.74,1.66,12.29
2020-01-23,0.0,14.34,65.83,2.63,15.61
2020-01-24,0.0,12.98,63.48,2.6,15.87
2020-01-25,0.0,12.67,63.76,1.28,13.41
2020-01-26,0.0,12.74,68.54,1.7,9.61
2020-01-27,0.0,14.64,64.7,1.81,12.38
2020-01-28,0.17,16.82,66.0,1.21,10.32
2020-01-29,0.16,19.09,70.76,1.85,12.22
2020-01-30,0.14,17.67,67.39,2.4,7.29
2020-01-31,0.0,14.4,58.64,2.2,15.72
2020-02-01,0.0,14.13,56.73,1.77,16.17
2020-02-02,0.0,13.92,61.22,2.65,16.19
2020-02-03,0.0,13.57,60.31,1.7,16.03
2020-02-04,0.0,15.23,52.18,0.71,15.62
2020-02-05,0.0,15.85,52.32,2.23,15.71
2020-02-06,0.0,14.87,56.18,1.98,16.48
2020-02-07,0.0,15.05,52.43,1.19,15.4
2020-02-08,0.0,14.99,54.0,1.61,13.6
2020-02-09,0.0,14.01,55.24,1.65,15.76
2020-02-10,0.0,14.43,58.57,1.86,16.75
2020-02-11,0.0,14.43,55.88,1.71,17.28
2020-02-12,0.0,14.6,56.73,1.96,16.97
2020-02-13,0.0,15.91,60.43,1.97,15.24
2020-02-14,0.0,19.05,63.28,2.51,15.84
2020-02-15,0.0,17.81,58.41,2.37,17.5
2020-02-16,0.0,17.94,53.6,1.21,16.23
2020-02-17,0.0,18.1,54.91,1.62,14.56
2020-02-18,0.0,17.9,48.79,2.16,17.67
2020-02-19,0.0,19.17,36.94,0.91,16.15
2020-02-20,0.0,19.12,37.46,1.07,11.99
2020-02-21,0.0,19.53,48.28,1.96,12.07
2020-02-22,4.35,19.49,59.85,1.78,10.55
2020-02-23,2.22,21.75,56.34,0.91,14.21
2020-02-24,1.9,20.83,68.6,1.08,16.47
2020-02-25,6.95,20.89,71.06,1.03,5.96
2020-02-26,6.75,18.88,76.44,0.88,10.07
2020-02-27,0.0,20.07,62.47,0.58,14.23
2020-02-28,0.0,21.75,48.93,0.68,19.72
2020-02-29,0.0,21.48,49.0,0.78,18.97
2020-03-01,0.0,22.98,46.42,0.72,19.17
2020-03-02,0.0,22.03,56.13,1.7,16.77
2020-03-03,0.1,23.59,53.37,1.56,17.88
2020-03-04,0.63,24.53,47.82,0.67,16.1
2020-03-05,0.54,25.06,47.36,1.24,16.46
2020-03-06,3.54,23.39,63.27,1.56,17.65
2020-03-07,2.46,23.65,65.29,1.78,14.78
2020-03-08,0.0,23.04,52.7,2.48,18.5
2020-03-09,0.0,21.63,45.46,2.82,22.6
2020-03-10,0.0,22.3,41.4,1.95,19.21
2020-03-11,0.21,20.32,64.58,1.72,13.36
2020-03-12,1.36,25.38,61.09,1.37,19.38
2020-03-13,3.73,24.09,67.16,1.44,6.47
2020-03-14,22.78,19.68,86.21,2.09,3.93
2020-03-15,0.26,21.55,67.04,1.4,20.51
2020-03-16,0.0,22.63,51.84,2.28,22.29
2020-03-17,0.0,22.48,48.01,1.96,21.64
2020-03-18,0.0,23.24,45.57,2.17,22.4
2020-03-19,0.0,24.2,44.91,2.24,20.11
2020-03-20,1.6,24.46,46.59,2.05,21.89
2020-03-21,0.48,24.99,44.23,2.16,15.18
2020-03-22,3.02,25.32,47.04,1.04,19.92
2020-03-23,0.31,25.46,49.13,1.57,19.84
2020-03-24,0.0,26.93,42.6,1.07,20.46
2020-03-25,0.0,28.52,41.65,2.09,21.11
2020-03-26,0.0,27.46,41.8,3.0,23.42
2020-03-27,0.0,28.94,41.71,2.89,23.33
2020-03-28,0.0,28.88,44.58,4.03,23.71
2020-03-29,0.0,26.92,35.39,3.85,25.46
2020-03-30,0.0,26.99,33.36,3.81,25.24
2020-03-31,0.0,27.09,37.01,2.57,24.49
2020-04-01,0.0,29.34,33.16,2.07,23.35
2020-04-02,0.0,29.78,33.94,2.21,24.11
2020-04-03,0.0,27.51,33.55,3.24,24.92
2020-04-04,0.0,26.59,29.55,2.76,25.63
