date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,0.0,9.71,53.23,1.45,11.28
2020-01-02,0.0,12.0,64.83,1.37,10.63
2020-01-03,0.0,14.64,65.09,0.8,12.28
2020-01-04,0.0,12.94,58.52,1.29,10.76
2020-01-05,0.01,12.72,55.24,1.16,9.26
2020-01-06,0.61,12.91,61.37,1.46,2.23
2020-01-07,3.82,13.32,82.71,1.34,2.77
2020-01-08,6.42,11.93,84.34,1.28,3.12
2020-01-09,0.0,8.61,65.73,2.03,8.55
2020-01-10,0.0,8.81,54.48,1.92,14.18
2020-01-11,0.0,10.56,44.12,1.44,13.17
2020-01-12,0.0,12.29,42.26,1.14,11.29
2020-01-13,2.92,12.0,69.31,2.35,4.43
2020-01-14,0.05,10.53,76.01,1.15,10.35
2020-01-15,0.0,10.85,70.08,1.49,8.48
2020-01-16,3.63,12.29,69.56,1.0,6.98
2020-01-17,0.02,12.27,71.18,1.1,5.24
2020-01-18,0.0,12.29,66.54,0.96,8.43
2020-01-19,0.0,10.37,67.02,1.43,8.03
2020-01-20,0.0,10.33,68.18,1.21,8.16
2020-01-21,0.0,11.68,58.86,1.51,8.12
2020-01-22,0.0,11.52,62.16,1.86,12.18
2020-01-23,0.0,10.61,61.1,2.86,12.24
2020-01-24,0.0,11.04,49.03,2.62,16.2
2020-01-25,0.0,12.29,51.0,1.12,11.48
2020-01-26,0.0,14.99,56.4,1.19,13.19
2020-01-27,4.66,14.56,67.69,2.36,3.46
2020-01-28,4.62,13.95,78.57,2.43,8.69
2020-01-29,0.35,12.77,67.94,0.96,13.71
2020-01-30,0.0,11.76,63.12,1.67,15.58
2020-01-31,0.0,12.24,54.71,1.24,9.42
2020-02-01,0.0,12.44,52.3,1.13,12.65
2020-02-02,0.0,11.42,57.91,1.62,13.94
2020-02-03,0.0,12.43,50.18,1.04,15.82
2020-02-04,0.0,11.87,54.77,1.63,13.22
2020-02-05,0.0,11.29,58.98,1.77,15.71
2020-02-06,0.0,11.85,55.73,1.21,15.75
2020-02-07,0.0,11.84,54.57,1.45,14.51
2020-02-08,0.0,12.37,51.54,1.55,15.81
2020-02-09,0.0,13.44,47.66,1.17,15.24
2020-02-10,0.0,14.15,45.72,1.16,16.13
2020-02-11,0.0,14.72,45.61,1.06,14.83
2020-02-12,0.0,16.06,46.89,1.96,16.1
2020-02-13,0.0,18.07,53.16,2.74,17.14
2020-02-14,0.0,16.87,45.96,3.34,18.81
2020-02-15,0.0,15.72,37.2,2.64,19.09
2020-02-16,0.0,17.37,32.32,1.68,18.5
2020-02-17,0.0,17.52,29.4,1.78,18.19
2020-02-18,0.0,17.22,29.55,1.86,19.13
2020-02-19,0.0,18.9,27.2,2.76,14.77
2020-02-20,0.58,18.9,41.51,3.43,13.77
2020-02-21,9.8,15.61,73.18,3.12,9.12
2020-02-22,0.0,16.52,66.31,1.71,14.47
2020-02-23,0.04,17.98,63.23,1.15,14.5
2020-02-24,0.0,18.25,56.93,1.65,17.62
2020-02-25,0.0,18.62,51.85,1.47,17.1
2020-02-26,0.02,19.55,49.15,1.36,15.0
2020-02-27,0.0,19.22,54.65,1.87,11.74
2020-02-28,0.0,20.27,56.58,3.54,12.24
2020-02-29,4.11,19.89,63.96,3.1,11.94
2020-03-01,0.01,20.24,66.18,1.6,18.26
2020-03-02,0.0,20.61,53.37,0.91,18.95
2020-03-03,0.0,20.61,48.47,1.21,19.03
2020-03-04,12.04,20.97,53.28,1.58,18.28
2020-03-05,13.73,19.38,75.92,2.73,15.02
2020-03-06,27.25,16.72,86.17,2.79,10.36
2020-03-07,0.44,15.85,74.06,1.71,11.24
2020-03-08,0.0,17.25,61.1,1.48,21.05
2020-03-09,0.0,17.09,58.05,2.56,19.9
2020-03-10,0.0,18.12,51.63,1.16,21.54
2020-03-11,5.35,18.09,71.93,2.46,10.22
