date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,2.96,12.33,73.93,1.18,2.86
2020-01-02,6.69,13.25,87.69,1.2,5.58
2020-01-03,7.39,14.82,85.48,1.06,8.4
2020-01-04,1.22,14.06,87.99,1.04,9.26
2020-01-05,0.24,11.49,84.5,2.31,13.64
2020-01-06,0.0,10.7,77.89,1.67,14.04
2020-01-07,0.0,13.11,68.17,1.14,12.35
2020-01-08,6.07,14.74,75.71,1.1,10.21
2020-01-09,4.49,13.81,88.26,2.43,6.49
2020-01-10,0.01,9.01,80.65,2.27,12.98
2020-01-11,0.0,7.41,79.21,1.78,14.69
2020-01-12,0.0,8.9,70.99,1.84,15.13
2020-01-13,0.0,11.05,63.79,1.65,14.52
2020-01-14,0.0,14.7,59.36,1.33,14.24
2020-01-15,0.0,16.31,66.72,0.61,13.5
2020-01-16,0.0,15.98,75.41,1.7,13.46
2020-01-17,0.0,15.89,77.18,1.85,14.73
2020-01-18,0.84,15.53,86.94,1.47,12.68
2020-01-19,1.15,14.14,89.36,1.95,6.5
2020-01-20,0.0,10.87,76.88,2.06,15.06
2020-01-21,0.0,12.84,62.65,0.91,14.67
2020-01-22,0.04,14.76,72.93,1.54,14.31
2020-01-23,0.35,14.12,81.91,2.49,13.26
2020-01-24,0.0,11.13,66.47,2.67,18.08
2020-01-25,0.0,10.91,63.91,1.46,17.33
2020-01-26,0.0,10.89,67.44,1.94,16.12
2020-01-27,0.0,12.86,65.35,1.95,15.2
2020-01-28,1.49,15.16,68.49,1.31,10.94
2020-01-29,1.49,16.58,79.31,2.05,10.77
2020-01-30,0.4,14.18,82.33,2.28,7.9
2020-01-31,0.0,12.24,63.13,1.77,17.59
2020-02-01,0.01,13.14,59.44,1.34,16.88
2020-02-02,0.0,11.48,64.74,2.14,18.28
2020-02-03,0.0,11.62,63.13,1.81,18.09
2020-02-04,0.66,14.39,61.85,0.92,13.54
2020-02-05,0.57,14.73,80.23,1.53,15.09
2020-02-06,0.03,13.86,66.68,1.69,16.17
2020-02-07,0.52,12.61,72.88,1.12,4.91
2020-02-08,0.89,13.62,80.23,1.36,4.77
2020-02-09,0.0,11.57,62.76,1.82,17.59
2020-02-10,0.0,11.66,60.61,1.72,18.61
2020-02-11,0.0,12.61,54.67,1.47,18.85
2020-02-12,0.0,12.33,56.13,1.95,18.08
2020-02-13,0.0,13.92,61.72,2.87,17.81
2020-02-14,0.0,16.94,60.52,3.06,18.4
2020-02-15,0.0,14.69,62.82,2.41,20.4
2020-02-16,0.0,14.95,55.65,1.64,20.2
2020-02-17,0.0,15.23,55.55,1.67,18.0
2020-02-18,0.0,15.6,51.9,2.03,18.88
2020-02-19,0.0,17.83,38.29,0.97,19.02
2020-02-20,0.0,18.68,41.15,0.72,13.84
2020-02-21,0.0,18.78,58.48,1.75,16.85
2020-02-22,1.3,20.2,61.15,1.2,13.86
2020-02-23,0.62,20.05,67.87,1.49,15.0
2020-02-24,6.86,19.39,72.73,1.83,14.56
2020-02-25,8.79,17.7,79.45,2.03,11.67
2020-02-26,0.2,16.24,70.49,2.0,13.44
2020-02-27,0.0,16.43,71.47,1.33,14.41
2020-02-28,0.0,18.11,62.0,1.1,16.99
2020-02-29,0.0,19.34,56.6,1.05,18.94
2020-03-01,0.0,20.55,55.55,0.96,17.69
2020-03-02,0.0,19.77,63.11,1.82,14.15
2020-03-03,6.91,20.88,63.87,1.12,13.29
2020-03-04,5.61,21.67,59.53,1.03,14.5
2020-03-05,5.0,20.65,66.09,1.28,13.49
2020-03-06,2.7,20.75,73.74,2.2,16.09
2020-03-07,23.39,19.58,83.54,2.34,15.45
2020-03-08,0.1,19.05,69.48,2.11,19.57
2020-03-09,0.0,18.03,55.31,2.33,19.97
2020-03-10,0.16,19.46,55.2,1.57,18.23
2020-03-11,6.39,20.39,63.88,1.19,7.58
2020-03-12,3.64,21.09,76.2,1.39,11.35
2020-03-13,9.6,22.53,76.18,1.86,10.51
2020-03-14,16.85,19.46,88.88,2.66,3.75
2020-03-15,9.75,19.25,82.01,1.35,16.83
2020-03-16,0.0,20.18,69.2,1.32,17.35
2020-03-17,0.0,20.32,63.19,1.37,21.23
2020-03-18,0.18,20.61,58.84,1.51,22.23
2020-03-19,1.69,21.67,55.81,1.62,16.16
2020-03-20,1.32,21.69,60.76,1.96,22.63
2020-03-21,1.59,20.31,65.31,2.46,17.1
2020-03-22,0.05,21.71,56.55,0.85,22.02
2020-03-23,0.0,21.96,56.23,1.56,21.29
2020-03-24,0.0,22.02,63.37,1.64,22.57
2020-03-25,0.0,23.17,60.09,2.2,22.18
2020-03-26,0.0,23.48,54.47,2.21,24.2
2020-03-27,0.14,25.29,54.64,1.66,24.08
2020-03-28,0.02,23.98,65.99,2.68,22.58
2020-03-29,0.0,23.38,55.94,2.88,25.24
2020-03-30,0.0,23.99,51.44,2.43,23.85
2020-03-31,0.0,24.82,46.34,1.72,24.82
2020-04-01,0.0,26.08,51.12,2.02,23.35
2020-04-02,0.0,26.73,45.18,1.48,23.26
2020-04-03,0.0,24.06,44.51,3.04,25.65
2020-04-04,0.12,24.41,41.86,2.11,25.47
2020-04-05,0.0,24.15,37.28,2.21,24.31
2020-04-06,0.0,24.6,38.76,2.58,25.72
2020-04-07,0.14,26.38,40.25,1.79,24.14
2020-04-08,1.73,26.9,49.93,1.75,21.62
2020-04-09,2.62,26.13,47.48,2.06,24.49
2020-04-10,0.0,26.83,38.5,1.55,24.32
2020-04-11,0.0,26.96,37.29,2.15,24.28
2020-04-12,0.0,27.07,40.6,2.29,23.17
2020-04-13,0.0,27.77,38.63,1.92,24.66
2020-04-14,0.0,29.26,34.53,1.16,23.01
2020-04-15,0.04,29.63,38.25,2.13,18.96
2020-04-16,0.42,28.45,41.68,2.64,20.34
2020-04-17,0.26,28.55,38.68,1.57,22.82
2020-04-18,0.69,29.32,40.92,1.83,14.81
2020-04-19,0.14,28.84,38.83,2.17,21.15
2020-04-20,0.01,28.76,41.17,1.44,19.18
