date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,0.0,9.49,56.4,1.28,10.2
2020-01-02,0.0,11.34,56.59,1.09,9.48
2020-01-03,0.0,12.2,59.36,1.29,12.09
2020-01-04,0.35,12.46,54.75,0.99,9.94
2020-01-05,0.09,11.03,62.32,1.32,8.68
2020-01-06,7.26,10.4,79.52,1.49,2.53
2020-01-07,8.45,11.22,90.47,1.11,3.1
2020-01-08,4.31,10.44,80.31,1.31,5.0
2020-01-09,0.0,8.21,69.97,1.64,9.54
2020-01-10,0.0,8.19,56.6,1.78,14.5
2020-01-11,0.0,10.06,47.57,1.29,11.56
2020-01-12,0.02,13.04,49.07,1.21,8.43
2020-01-13,23.28,9.91,78.14,1.81,2.41
2020-01-14,0.03,9.76,80.62,0.79,11.68
2020-01-15,0.0,9.5,75.09,0.96,8.85
2020-01-16,0.24,10.28,70.58,1.07,7.96
2020-01-17,0.02,11.41,63.57,0.68,9.21
2020-01-18,0.29,11.25,70.02,0.99,7.34
2020-01-19,0.0,10.25,76.34,1.31,12.17
2020-01-20,0.02,10.22,70.66,0.99,11.1
2020-01-21,0.13,11.05,64.14,1.25,11.15
2020-01-22,0.0,10.61,67.15,1.48,15.0
2020-01-23,0.0,9.34,70.84,2.02,15.26
2020-01-24,0.0,9.64,60.29,1.85,15.79
2020-01-25,0.0,12.76,49.62,0.65,12.44
2020-01-26,0.0,13.39,59.27,1.15,14.58
2020-01-27,1.63,13.21,72.98,1.58,3.63
2020-01-28,10.95,11.71,89.51,3.25,6.44
2020-01-29,0.52,11.64,79.02,1.8,12.41
2020-01-30,0.0,10.6,75.17,1.51,14.96
2020-01-31,0.0,10.86,66.49,1.02,11.47
2020-02-01,0.03,10.53,64.05,1.2,12.28
2020-02-02,0.0,10.66,68.08,1.57,15.54
2020-02-03,0.0,11.53,59.76,0.97,16.29
2020-02-04,0.0,10.1,64.46,1.58,10.82
2020-02-05,0.0,9.95,70.06,1.47,15.52
2020-02-06,0.0,11.79,56.11,0.83,15.51
2020-02-07,0.0,11.14,57.79,1.11,14.88
2020-02-08,0.0,11.94,57.32,1.23,15.53
2020-02-09,0.0,12.74,55.17,1.09,14.68
2020-02-10,0.0,13.33,53.9,1.23,15.03
2020-02-11,0.0,13.81,56.09,1.13,14.52
2020-02-12,0.0,15.08,62.73,1.93,15.98
2020-02-13,0.0,17.33,68.75,2.21,16.71
2020-02-14,0.0,15.46,64.37,2.32,18.75
2020-02-15,0.0,14.47,53.68,1.83,19.53
2020-02-16,0.0,16.87,41.52,1.23,18.44
2020-02-17,0.0,16.25,40.2,1.54,19.9
2020-02-18,0.0,16.59,39.05,1.33,19.04
2020-02-19,0.0,16.63,41.9,3.91,12.95
2020-02-20,1.67,17.85,50.63,3.28,12.19
2020-02-21,0.52,15.32,70.75,2.75,13.29
2020-02-22,0.0,16.05,69.14,1.43,18.23
2020-02-23,0.01,17.3,64.5,1.33,17.27
2020-02-24,0.15,17.77,59.66,1.34,17.88
2020-02-25,0.0,18.09,57.02,1.13,16.73
2020-02-26,0.0,18.65,56.32,1.32,16.73
2020-02-27,0.0,17.73,61.42,1.68,13.33
