date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,0.0,10.54,59.16,2.6,11.19
2020-01-02,0.0,11.08,77.23,2.07,7.38
2020-01-03,0.0,13.77,67.38,1.05,12.34
2020-01-04,0.0,14.38,62.85,0.87,9.22
2020-01-05,0.0,14.67,50.03,0.71,11.14
2020-01-06,0.0,14.94,56.47,1.6,12.52
2020-01-07,0.09,15.61,60.7,1.8,12.39
2020-01-08,0.31,13.36,69.06,2.65,8.3
2020-01-09,0.0,9.68,59.23,1.88,15.91
2020-01-10,0.0,9.37,47.32,1.36,16.19
2020-01-11,0.0,10.94,41.47,1.4,15.47
2020-01-12,0.0,13.53,41.27,1.65,14.98
2020-01-13,0.01,14.59,67.15,3.14,9.87
2020-01-14,0.0,12.55,65.88,1.92,14.76
2020-01-15,0.46,13.62,61.27,1.94,9.92
2020-01-16,1.13,11.49,77.85,2.47,5.21
2020-01-17,0.01,11.69,65.36,1.29,13.81
2020-01-18,0.0,11.96,62.51,1.52,12.66
2020-01-19,0.0,11.12,56.8,1.26,13.52
2020-01-20,0.0,11.92,47.55,1.17,11.92
2020-01-21,0.0,13.88,50.47,1.88,15.26
2020-01-22,0.0,13.25,51.45,2.04,15.15
2020-01-23,0.0,11.77,51.17,2.54,16.91
2020-01-24,0.0,12.22,41.72,1.72,17.42
2020-01-25,0.0,15.28,37.24,0.96,17.01
2020-01-26,0.0,17.0,37.94,1.19,17.22
2020-01-27,0.24,16.48,51.14,1.73,15.42
2020-01-28,0.06,16.0,60.52,2.06,13.32
2020-01-29,0.0,13.79,47.05,1.53,17.45
2020-01-30,0.0,12.57,47.64,1.63,17.6
2020-01-31,0.0,13.12,39.96,1.48,17.95
2020-02-01,0.0,13.09,39.1,1.28,17.66
2020-02-02,0.0,13.12,42.65,1.1,18.04
2020-02-03,0.0,13.12,37.98,1.29,17.6
2020-02-04,0.0,14.07,42.53,1.46,15.73
2020-02-05,0.0,13.67,44.74,1.57,16.0
2020-02-06,0.0,13.91,38.17,1.33,17.11
2020-02-07,0.0,12.68,41.77,1.92,17.6
2020-02-08,0.0,13.02,40.03,1.47,17.84
2020-02-09,0.0,14.37,33.29,0.97,17.84
2020-02-10,0.0,15.39,27.72,0.94,17.92
2020-02-11,0.0,15.63,33.31,1.05,18.32
2020-02-12,0.0,17.27,34.26,1.11,18.59
2020-02-13,0.0,18.5,36.17,1.77,18.63
2020-02-14,0.0,17.76,35.45,2.6,18.31
2020-02-15,0.0,17.14,22.09,2.09,20.58
2020-02-16,0.0,19.43,17.78,1.49,21.09
2020-02-17,0.0,19.46,18.48,1.47,20.53
2020-02-18,0.0,19.91,18.17,1.63,20.67
2020-02-19,0.0,19.46,24.31,1.7,17.24
2020-02-20,0.63,19.97,37.02,1.94,17.81
2020-02-21,0.45,17.24,49.17,2.72,17.49
2020-02-22,0.0,17.12,62.4,2.0,17.29
2020-02-23,0.0,18.13,58.75,1.54,13.49
2020-02-24,0.0,18.85,52.39,1.45,15.44
2020-02-25,0.0,20.02,37.5,1.57,19.08
2020-02-26,0.0,20.21,39.28,1.38,20.19
2020-02-27,0.0,22.29,34.84,1.48,16.96
2020-02-28,0.0,22.27,37.31,2.03,12.82
2020-02-29,0.06,22.95,41.98,1.52,18.97
2020-03-01,0.05,21.92,47.44,1.8,19.61
2020-03-02,0.0,22.23,44.57,1.11,17.21
2020-03-03,0.08,22.63,41.04,1.21,15.92
2020-03-04,4.78,21.83,46.43,1.95,15.81
2020-03-05,4.01,20.37,62.65,2.6,16.5
