date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,0.0,9.81,78.75,1.79,8.69
2020-01-02,0.87,12.67,89.55,1.32,10.76
2020-01-03,5.25,14.47,88.79,1.95,7.65
2020-01-04,1.0,14.99,80.56,0.83,7.15
2020-01-05,0.0,12.58,75.59,2.04,9.26
2020-01-06,0.0,12.89,68.16,1.43,12.65
2020-01-07,0.14,14.96,68.87,1.03,10.28
2020-01-08,3.65,14.83,81.91,1.78,3.16
2020-01-09,1.44,12.89,86.8,1.71,5.33
2020-01-10,0.07,9.57,70.58,2.01,8.87
2020-01-11,0.0,9.28,65.92,1.55,11.64
2020-01-12,0.0,10.22,68.19,1.66,11.81
2020-01-13,0.0,11.59,71.78,1.29,10.71
2020-01-14,0.12,12.86,77.22,0.78,9.3
2020-01-15,14.37,13.1,87.95,0.72,4.42
2020-01-16,9.45,15.16,90.16,1.81,1.88
2020-01-17,15.0,16.08,87.41,1.47,3.13
2020-01-18,0.42,14.08,82.17,1.1,2.74
2020-01-19,0.0,12.18,82.84,2.04,7.25
2020-01-20,0.0,11.3,73.68,1.66,9.66
2020-01-21,0.0,13.17,62.08,0.84,10.94
2020-01-22,0.0,12.56,66.88,1.52,12.29
2020-01-23,0.0,11.41,72.65,2.97,15.58
2020-01-24,0.0,10.68,69.31,2.69,16.57
2020-01-25,0.0,11.55,64.71,1.09,15.64
2020-01-26,0.0,12.6,66.28,1.69,13.18
2020-01-27,0.0,14.93,68.18,1.65,13.94
2020-01-28,0.03,15.14,74.28,2.22,11.87
2020-01-29,1.47,15.19,81.17,2.06,10.4
2020-01-30,0.07,13.07,74.29,2.41,14.62
2020-01-31,0.02,12.1,66.09,2.19,15.52
2020-02-01,0.0,11.82,67.37,1.79,15.82
2020-02-02,0.0,11.51,67.79,2.21,16.16
2020-02-03,0.0,11.83,65.69,1.68,16.8
2020-02-04,0.0,13.25,59.29,0.88,13.75
2020-02-05,0.0,12.61,65.7,1.95,15.7
2020-02-06,0.0,13.81,59.6,1.35,14.99
2020-02-07,0.0,13.87,57.68,1.15,14.07
2020-02-08,0.0,11.95,62.64,1.68,15.41
2020-02-09,0.0,13.27,58.36,1.24,16.16
2020-02-10,0.0,12.84,61.63,1.81,16.82
2020-02-11,0.0,13.22,60.23,1.75,16.91
2020-02-12,0.0,13.59,63.31,1.98,16.51
2020-02-13,0.0,16.13,66.34,1.95,17.66
2020-02-14,0.0,17.62,63.4,3.08,18.5
2020-02-15,0.0,16.08,55.69,2.19,19.55
2020-02-16,0.0,17.12,47.07,1.05,18.91
2020-02-17,0.0,16.56,49.93,1.55,16.7
2020-02-18,0.0,15.74,48.01,1.99,19.79
2020-02-19,0.0,17.37,47.11,1.25,17.75
2020-02-20,0.0,17.81,52.67,2.04,16.19
2020-02-21,7.07,16.4,63.28,3.29,11.81
2020-02-22,0.49,19.25,66.25,1.91,10.03
2020-02-23,0.15,19.98,63.34,1.01,10.35
